74 | Araucaria angustifolia | Pino de Brasil | Exótico | Arbóreo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
75 | Araucaria araucana | Araucaria | Nativo Conservación | Arbóreo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
76 | Araucaria bidwillii | Araucaria Australiana | Exótico | Arbóreo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
77 | Araucaria heterophylla | Araucaria excelsa | Exótico | Arbóreo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
78 | Araucaria sp. | Araucaria | Exótico | Arbóreo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
79 | Arbutus unedo | Madroño | Exótico | Arbustivo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
80 | Archidasyphylluym excelsum | Tayú del Norte | Nativo | Arbóreo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
81 | Argyranthemum frutescens / Chrysanthemum frutescens | Paquerette | Exótico | Herbáceo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
82 | Argyranthemum sp. | Ventosilla | Exótico | Herbáceo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
83 | Argythamnia berteroana | Ventosilla | Nativo | Arbustivo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
84 | Argythamnia tricuspidata | Ventosilla | Nativo | Arbustivo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
85 | Aristotelia chilensis | Maqui | Nativo | Arbóreo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
86 | Armeria maritima | Clavelina de mar | Exótico | Herbáceo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
87 | Artemisia absinthium | Ajenjo | Exótico | Arbustivo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
88 | Artemisia vulgaris | Artemisa / Hierba de San Juan | Exótico | Herbáceo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
89 | Asteriscium vidalii | Anisillo | Nativo | Herbáceo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
90 | Astragalus paposanus | Arvejilla de Paposo | Nativo | Herbáceo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
91 | Atriplex atacamensis | Cachiyuyo | Nativo | Arbustivo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
92 | Atriplex coquimbana | Atriplex cachiyuyo | Nativo Conservación | Arbustivo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
